sample_id,xi,E_true,alpha_true,u_true_disp_y_tip,u_hat_disp_y_tip,status
448,8.9364006472131763e-01,2.2538941293908405e+11,1.0893640064721317e+00,-1.7386734327814730e-06,-1.7688135205705114e-06,"ok"
449,3.1553498760209564e-01,2.1342841889348737e+11,1.0315534987602095e+00,-1.8361124837098616e-06,-1.8185889050379828e-06,"ok"
450,-5.1659374695682125e-01,1.9621167537546338e+11,9.4834062530431795e-01,-1.9972235778466124e-06,-2.0309360650465235e-06,"ok"
451,-3.0868918776291965e-01,2.0051322070518518e+11,9.6913108122370795e-01,-1.9543777858067680e-06,-1.9443316914418997e-06,"ok"
452,2.0724754938277630e+00,2.4977951796729642e+11,1.2072475493827763e+00,-1.5688979925028913e-06,-1.6119912056620697e-06,"ok"
453,3.9984042959989158e-01,2.1517269848842175e+11,1.0399840429599891e+00,-1.8212281904754434e-06,-1.8116468416728926e-06,"ok"
454,1.2145439711767891e+00,2.3202891476364777e+11,1.1214543971176789e+00,-1.6889213342514823e-06,-1.7144491249971773e-06,"ok"
455,2.1643445870671771e-01,2.1137802895064200e+11,1.0216434458706718e+00,-1.8539229751225904e-06,-1.8424265165486698e-06,"ok"
456,2.0245835295568972e-02,2.0731888633226532e+11,1.0020245835295569e+00,-1.8902213456792662e-06,-1.8761962651870493e-06,"ok"
457,9.5961907903259391e-01,2.2675451874518436e+11,1.0959619079032594e+00,-1.7282062843816980e-06,-1.7520165129565660e-06,"ok"
458,1.5201144134278572e-02,2.0721451167213821e+11,1.0015201144134278e+00,-1.8911734566557107e-06,-1.8568631322719228e-06,"ok"
459,1.0852594214612361e+00,2.2935401743003296e+11,1.1085259421461235e+00,-1.7086187924669807e-06,-1.7344189275148743e-06,"ok"
460,-6.3451196440638358e-01,1.9377194745643192e+11,9.3654880355936165e-01,-2.0223700564084470e-06,-2.0581014196996564e-06,"ok"
461,-3.7703773791807643e-01,1.9909908920247501e+11,9.6229622620819244e-01,-1.9682590506891703e-06,-1.9398222448138884e-06,"ok"
462,-2.3524553020804773e-01,2.0203276997999548e+11,9.7647544697919519e-01,-1.9396783222219728e-06,-1.8865157728628563e-06,"ok"
463,-4.7161670228259706e-01,1.9714225042977307e+11,9.5283832977174032e-01,-1.9877960379056448e-06,-1.9731056717025538e-06,"ok"
464,-2.6348424370460088e-02,2.0635485109977518e+11,9.9736515756295396e-01,-1.8990519593692105e-06,-1.9301540585330003e-06,"ok"
465,-1.7593821107510463e-01,2.0325983841285608e+11,9.8240617889248949e-01,-1.9279685911803360e-06,-1.8809893051488876e-06,"ok"
466,1.8799097156566285e+00,2.4579533201693564e+11,1.1879909715656629e+00,-1.5943288307865754e-06,-1.5293924944469185e-06,"ok"
